LAT Y LON:
Nodo 2059583676 -> [-12.0792579, -77.0676525]
Nodo 4471963837 -> [-12.064132, -77.0563523]
Nodo 4471963839 -> [-12.0637085, -77.0561778]
Nodo 4467032256 -> [-12.0707974, -77.0420229]
Nodo 4467032257 -> [-12.0713161, -77.0421371]
Nodo 4467032258 -> [-12.0713639, -77.0418798]
Nodo 4471963843 -> [-12.0629812, -77.0575519]
Nodo 4471963844 -> [-12.063352, -77.0577162]
Nodo 4471963846 -> [-12.0626538, -77.0584945]
Nodo 263389383 -> [-12.0814776, -77.0573102]
Nodo 263389384 -> [-12.0814136, -77.0572592]
Nodo 263389385 -> [-12.0806292, -77.0566195]
Nodo 263389386 -> [-12.0798445, -77.0559769]
Nodo 263389387 -> [-12.0788796, -77.0551465]
Nodo 2059583692 -> [-12.0797217, -77.0688042]
Nodo 2059583693 -> [-12.0797472, -77.0681656]
Nodo 263389390 -> [-12.0769123, -77.0535523]
Nodo 263389391 -> [-12.075929, -77.052745]
Nodo 2059583696 -> [-12.0797967, -77.0688248]
Nodo 263389393 -> [-12.0739505, -77.0511095]
Nodo 263389394 -> [-12.0729606, -77.0502868]
Nodo 2055741702 -> [-12.0791168, -77.0571057]
Nodo 2059583700 -> [-12.0799016, -77.068418]
Nodo 263389397 -> [-12.0700163, -77.0478732]
Nodo 2059583702 -> [-12.07994, -77.0684947]
Nodo 263389399 -> [-12.0680519, -77.046255]
Nodo 263389400 -> [-12.06707, -77.0454484]
Nodo 263389401 -> [-12.0660863, -77.0446374]
Nodo 2059583706 -> [-12.0799553, -77.0667782]
Nodo 2059583707 -> [-12.0799718, -77.0664814]
Nodo 2059583525 -> [-12.0756487, -77.0637791]
Nodo 2059583713 -> [-12.0800307, -77.0680796]
Nodo 1273918843 -> [-12.0749228, -77.0631968]
Nodo 2059583716 -> [-12.0800523, -77.0661597]
Nodo 638353637 -> [-12.0795504, -77.0619889]
Nodo 2059583721 -> [-12.0800779, -77.0661447]
Nodo 3725525231 -> [-12.0566744, -77.0804207]
Nodo 2059583729 -> [-12.0801108, -77.0661484]
Nodo 3725525235 -> [-12.0597106, -77.0796533]
Nodo 3725525236 -> [-12.0598094, -77.0796533]
Nodo 3725525237 -> [-12.0599082, -77.0796724]
Nodo 3725525238 -> [-12.0599776, -77.0797352]
Nodo 3725525239 -> [-12.0600299, -77.0791383]
Nodo 3725525240 -> [-12.0601582, -77.0792878]
Nodo 3725525241 -> [-12.060063, -77.0798225]
Nodo 3725525242 -> [-12.060111, -77.0799454]
Nodo 3725525243 -> [-12.0603059, -77.0806687]
Nodo 3725525244 -> [-12.0603453, -77.0790683]
Nodo 2059583741 -> [-12.0801376, -77.0688183]
Nodo 3725525246 -> [-12.0604821, -77.0813593]
Nodo 3725525247 -> [-12.0606903, -77.0823065]
Nodo 649999744 -> [-12.0765845, -77.0784169]
Nodo 1273790722 -> [-12.0620025, -77.0411867]
Nodo 3885220099 -> [-12.0550553, -77.0613617]
Nodo 3885220100 -> [-12.0553201, -77.0613087]
Nodo 2059583749 -> [-12.080187, -77.0689194]
Nodo 2059583751 -> [-12.0802083, -77.0661845]
Nodo 2059583754 -> [-12.0802735, -77.0696451]
Nodo 2059583755 -> [-12.0803092, -77.0659649]
Nodo 2059583756 -> [-12.0803208, -77.067387]
Nodo 638353678 -> [-12.0797451, -77.0613302]
Nodo 2059583760 -> [-12.0803445, -77.0673272]
Nodo 2059583762 -> [-12.0804098, -77.0682243]
Nodo 1273479443 -> [-12.0794626, -77.0645622]
Nodo 2059583765 -> [-12.0805214, -77.0680691]
Nodo 2059583766 -> [-12.0806845, -77.0700398]
Nodo 2059583767 -> [-12.0806862, -77.0689036]
Nodo 2059583768 -> [-12.0807046, -77.0702231]
Nodo 2059583769 -> [-12.0807778, -77.0701015]
Nodo 3962740783 -> [-12.0746756, -77.082215]
Nodo 2054406428 -> [-12.0683345, -77.0739344]
Nodo 2059583773 -> [-12.0810434, -77.0683262]
Nodo 2059583774 -> [-12.08108, -77.0685525]
Nodo 2054406431 -> [-12.0686527, -77.0747037]
Nodo 2054406432 -> [-12.068712, -77.0739822]
Nodo 2054406433 -> [-12.0688218, -77.0739922]
Nodo 2054406435 -> [-12.0690587, -77.0740138]
Nodo 2059583782 -> [-12.0812072, -77.0704601]
Nodo 2059583783 -> [-12.0812149, -77.0694316]
Nodo 2054406441 -> [-12.0692354, -77.0747693]
Nodo 2054406442 -> [-12.0693087, -77.0740394]
Nodo 1273927047 -> [-12.0834353, -77.0765015]
Nodo 2054406444 -> [-12.0693872, -77.0770243]
Nodo 2059583789 -> [-12.08137, -77.0704321]
Nodo 2054406446 -> [-12.069462, -77.076451]
Nodo 2059583794 -> [-12.0817623, -77.0685338]
Nodo 2059583797 -> [-12.083105, -77.0702358]
Nodo 2059583798 -> [-12.0840883, -77.0706036]
Nodo 650000925 -> [-12.0771753, -77.0767423]
Nodo 3976118589 -> [-12.0821064, -77.0487929]
Nodo 3976118590 -> [-12.0818888, -77.0488724]
Nodo 3976118591 -> [-12.0818704, -77.0486896]
Nodo 3976118592 -> [-12.081831, -77.0487789]
Nodo 3976118593 -> [-12.081991, -77.0486848]
Nodo 3976118594 -> [-12.0820264, -77.0488747]
Nodo 2055741494 -> [-12.0699383, -77.0580227]
Nodo 4406307357 -> [-12.0805628, -77.0727095]
Nodo 316802430 -> [-12.0657309, -77.0780471]
Nodo 874898655 -> [-12.0707936, -77.0656372]
Nodo 874867427 -> [-12.0708778, -77.0686665]
Nodo 2054406445 -> [-12.069447, -77.0766238]
Nodo 687447958 -> [-12.0563501, -77.0640667]
Nodo 606937145 -> [-12.0827215, -77.0802005]
Nodo 3976118625 -> [-12.0826037, -77.0460376]
Nodo 3976118626 -> [-12.0764119, -77.0420829]
Nodo 3976118627 -> [-12.0764358, -77.0424346]
Nodo 3976118628 -> [-12.0764847, -77.0420192]
Nodo 3976118629 -> [-12.0766636, -77.0420855]
Nodo 3976118630 -> [-12.0766508, -77.0423204]
Nodo 3976118631 -> [-12.0765028, -77.0425014]
Nodo 3976118632 -> [-12.0765473, -77.0424981]
Nodo 3976118633 -> [-12.0765674, -77.0420208]
Nodo 2981888373 -> [-12.0720457, -77.0825546]
Nodo 2981888374 -> [-12.0709098, -77.0821821]
Nodo 2981888375 -> [-12.0698984, -77.0818278]
Nodo 2981888376 -> [-12.0698444, -77.0818566]
Nodo 1273643385 -> [-12.0650015, -77.059618]
Nodo 2988818810 -> [-12.0861232, -77.0493571]
Nodo 2988818811 -> [-12.0862379, -77.049243]
Nodo 2988818812 -> [-12.0862617, -77.0491376]
Nodo 2988818813 -> [-12.086259, -77.0490296]
Nodo 1273708926 -> [-12.0632954, -77.057217]
Nodo 2988818815 -> [-12.086156, -77.0488432]
Nodo 2988818816 -> [-12.08609, -77.0487784]
Nodo 2988818817 -> [-12.0860266, -77.0487189]
Nodo 2988818818 -> [-12.0860095, -77.0485978]
Nodo 2988818819 -> [-12.0858137, -77.0491609]
Nodo 2988818820 -> [-12.0858311, -77.0491376]
Nodo 2988818821 -> [-12.0858998, -77.0490458]
Nodo 2988818822 -> [-12.0859262, -77.0489675]
Nodo 2988818823 -> [-12.0859632, -77.0488567]
Nodo 2981920474 -> [-12.072669, -77.0797423]
Nodo 819210988 -> [-12.0602335, -77.0468947]
Nodo 2168739223 -> [-12.0587552, -77.0670051]
Nodo 638353804 -> [-12.0809976, -77.0602779]
Nodo 2981888397 -> [-12.0688685, -77.0779137]
Nodo 2981888398 -> [-12.0690293, -77.078134]
Nodo 2981888399 -> [-12.0690121, -77.0785048]
Nodo 2981888400 -> [-12.0693901, -77.0779417]
Nodo 593974680 -> [-12.0616156, -77.0480538]
Nodo 638353810 -> [-12.0809948, -77.0602168]
Nodo 638353813 -> [-12.0809756, -77.0601596]
Nodo 1273741719 -> [-12.0593022, -77.0541813]
Nodo 638353818 -> [-12.0807046, -77.0599168]
Nodo 819210991 -> [-12.0620346, -77.04462]
Nodo 2168739226 -> [-12.0577002, -77.0673944]
Nodo 2058517280 -> [-12.0800077, -77.0630264]
Nodo 701688560 -> [-12.0579017, -77.0670849]
Nodo 2168739227 -> [-12.0588128, -77.0673449]
Nodo 2981920475 -> [-12.0729802, -77.0791335]
Nodo 4431547121 -> [-12.0613326, -77.0656305]
Nodo 2168739228 -> [-12.0587342, -77.0668683]
Nodo 1273790891 -> [-12.0645175, -77.0402169]
Nodo 593974685 -> [-12.0576255, -77.0471966]
Nodo 1273708982 -> [-12.0568754, -77.069182]
Nodo 1273954747 -> [-12.0615593, -77.0598361]
Nodo 687447972 -> [-12.0533503, -77.0639012]
Nodo 687447968 -> [-12.0538152, -77.0640487]
Nodo 2981920476 -> [-12.0730256, -77.0791136]
Nodo 2053915079 -> [-12.0525771, -77.0525443]
Nodo 462979631 -> [-12.077817, -77.0817846]
Nodo 2053915083 -> [-12.0527982, -77.0519001]
Nodo 2053915086 -> [-12.0535345, -77.0519145]
Nodo 1832795749 -> [-12.0648096, -77.0699374]
Nodo 2053915091 -> [-12.0538588, -77.0519344]
Nodo 2053915092 -> [-12.0539029, -77.0563642]
Nodo 4241328889 -> [-12.08517, -77.0490683]
Nodo 2981920477 -> [-12.0730796, -77.0788022]
Nodo 499859939 -> [-12.0581518, -77.0691616]
Nodo 263389679 -> [-12.080689, -77.058302]
Nodo 263389680 -> [-12.0808204, -77.0581437]
Nodo 263389681 -> [-12.0827701, -77.0556903]
Nodo 263389682 -> [-12.0831489, -77.0550672]
Nodo 263389683 -> [-12.0832787, -77.0547037]
Nodo 263389684 -> [-12.083439, -77.0539504]
Nodo 263389685 -> [-12.0834596, -77.0536407]
Nodo 263389686 -> [-12.0833907, -77.0528005]
Nodo 263389687 -> [-12.0831883, -77.0521074]
Nodo 263389688 -> [-12.0826054, -77.0505981]
Nodo 263389689 -> [-12.0822705, -77.0497112]
Nodo 263389690 -> [-12.0821004, -77.0492181]
Nodo 263389691 -> [-12.0820081, -77.0487862]
Nodo 263389692 -> [-12.0819764, -77.0484985]
Nodo 263389693 -> [-12.081962, -77.0480971]
Nodo 263389694 -> [-12.0819759, -77.0477825]
Nodo 263389695 -> [-12.0819909, -77.0476145]
Nodo 263389696 -> [-12.0820741, -77.0471496]
Nodo 263389697 -> [-12.0821193, -77.0469704]
Nodo 263389698 -> [-12.0823516, -77.0461251]
Nodo 5331714563 -> [-12.0821099, -77.0505734]
Nodo 2053915140 -> [-12.0550441, -77.0510221]
Nodo 2053915143 -> [-12.0550529, -77.0492595]
Nodo 4346544648 -> [-12.0794696, -77.0760628]
Nodo 2053915152 -> [-12.055155, -77.043721]
Nodo 2053915153 -> [-12.0551948, -77.0509601]
Nodo 2053915154 -> [-12.0552015, -77.0510441]
Nodo 2053915155 -> [-12.0552128, -77.0511849]
Nodo 2053915156 -> [-12.0552507, -77.0574308]
Nodo 2053915157 -> [-12.0553095, -77.0573928]
Nodo 2053915158 -> [-12.0553926, -77.0573507]
Nodo 2053915159 -> [-12.0553605, -77.0546585]
Nodo 1273987609 -> [-12.0577066, -77.0431367]
Nodo 263389723 -> [-12.08227, -77.0459041]
Nodo 263389724 -> [-12.0819537, -77.0470942]
Nodo 263389725 -> [-12.0819056, -77.047339]
Nodo 263389726 -> [-12.0818661, -77.0476105]
Nodo 263389727 -> [-12.0818512, -77.0477614]
Nodo 263389728 -> [-12.0818421, -77.0483993]
Nodo 263389729 -> [-12.0818756, -77.0487808]
Nodo 263389730 -> [-12.0820283, -77.0494241]
Nodo 263389731 -> [-12.0821184, -77.0496814]
Nodo 263389732 -> [-12.0824734, -77.0506015]
Nodo 4334141989 -> [-12.0659305, -77.0461227]
Nodo 2053915174 -> [-12.0556261, -77.0465582]
Nodo 263389735 -> [-12.0833025, -77.0530196]
Nodo 1399063080 -> [-12.0579566, -77.0564677]
Nodo 1399063081 -> [-12.0585198, -77.0557949]
Nodo 263389738 -> [-12.0831852, -77.0545787]
Nodo 263389739 -> [-12.0830352, -77.0550067]
Nodo 2053915180 -> [-12.0557365, -77.0465497]
Nodo 462979629 -> [-12.077539, -77.0815932]
Nodo 263389742 -> [-12.0806266, -77.0582502]
Nodo 2053915183 -> [-12.0558542, -77.0538694]
Nodo 1399063088 -> [-12.061707, -77.0550943]
Nodo 2053915185 -> [-12.0559891, -77.050895]
Nodo 2053915186 -> [-12.0560295, -77.0465384]
Nodo 2053915187 -> [-12.0560465, -77.0525776]
Nodo 2053915188 -> [-12.0561128, -77.0512482]
Nodo 263111221 -> [-12.0854927, -77.0485846]
Nodo 611484214 -> [-12.0777563, -77.0835297]
Nodo 2053915192 -> [-12.0562123, -77.0419621]
Nodo 611484217 -> [-12.0780583, -77.083695]
Nodo 2053915194 -> [-12.056251, -77.0528827]
Nodo 1399063099 -> [-12.0610791, -77.0569026]
Nodo 2053915196 -> [-12.0564119, -77.0495756]
Nodo 2053915197 -> [-12.0564335, -77.0498668]
Nodo 499843646 -> [-12.0659289, -77.0752837]
Nodo 2053915199 -> [-12.0567463, -77.0420077]
Nodo 1399063105 -> [-12.0622495, -77.0589671]
Nodo 1399063106 -> [-12.0624501, -77.058421]
Nodo 611484227 -> [-12.0776978, -77.0818819]
Nodo 1399063108 -> [-12.0627362, -77.0575763]
Nodo 2053915205 -> [-12.0569959, -77.0511733]
Nodo 593974678 -> [-12.0593937, -77.0445319]
Nodo 611484232 -> [-12.0778009, -77.0825003]
Nodo 611484233 -> [-12.0780942, -77.0823372]
Nodo 2053915210 -> [-12.0570382, -77.0516658]
Nodo 611484235 -> [-12.0778827, -77.0827678]
Nodo 5283627596 -> [-12.0716554, -77.0679154]
Nodo 1399063117 -> [-12.0595388, -77.0567109]
Nodo 1399063118 -> [-12.0575632, -77.0550076]
Nodo 611484239 -> [-12.0789285, -77.0788676]
Nodo 2053915216 -> [-12.057116, -77.0580602]
Nodo 2053915217 -> [-12.0571441, -77.0515011]
Nodo 2053915219 -> [-12.057215, -77.0518156]
Nodo 2053915220 -> [-12.0572072, -77.0514983]
Nodo 2053915445 -> [-12.0653356, -77.0568752]
Nodo 2053915222 -> [-12.0573813, -77.0580658]
Nodo 2053915223 -> [-12.0575617, -77.0464867]
Nodo 2053915224 -> [-12.0576603, -77.0580037]
Nodo 2053915225 -> [-12.0577405, -77.058176]
Nodo 2053915226 -> [-12.057746, -77.0581026]
Nodo 2053915227 -> [-12.0577665, -77.0489945]
Nodo 4574331484 -> [-12.0739809, -77.0557864]
Nodo 2053915229 -> [-12.0579164, -77.0582896]
Nodo 1399063134 -> [-12.0589885, -77.0573631]
Nodo 2053915231 -> [-12.0580532, -77.0464571]
Nodo 674939488 -> [-12.0737577, -77.0626335]
Nodo 674939489 -> [-12.0738204, -77.0625695]
Nodo 2053915234 -> [-12.0584552, -77.0583603]
Nodo 2053915235 -> [-12.0584597, -77.0521337]
Nodo 2053915236 -> [-12.0586056, -77.0423458]
Nodo 2053915237 -> [-12.0586542, -77.05851]
Nodo 2053915238 -> [-12.0588144, -77.0585496]
Nodo 2053915239 -> [-12.0588614, -77.0584676]
Nodo 2053915240 -> [-12.0590714, -77.0585044]
Nodo 2053915241 -> [-12.0592297, -77.0444264]
Nodo 2053915242 -> [-12.0594121, -77.0541787]
Nodo 2053915243 -> [-12.059418, -77.0520531]
Nodo 4439786092 -> [-12.0854591, -77.0816622]
Nodo 5605501714 -> [-12.0604433, -77.067745]
Nodo 4439786094 -> [-12.0852636, -77.081559]
Nodo 1399063151 -> [-12.0587091, -77.0536619]
Nodo 2053915248 -> [-12.0594888, -77.0541659]
Nodo 2053915249 -> [-12.0594906, -77.0416739]
Nodo 2053915250 -> [-12.0594997, -77.0586428]
Nodo 4439786101 -> [-12.0855826, -77.0814277]
Nodo 4439786102 -> [-12.0853342, -77.0806767]
Nodo 2981888105 -> [-12.0696755, -77.0816346]
Nodo 2053915258 -> [-12.0595902, -77.0591922]
Nodo 4569312879 -> [-12.056622, -77.0478144]
Nodo 2053915260 -> [-12.0595957, -77.0592967]
Nodo 2053915261 -> [-12.0595985, -77.0590566]
Nodo 2053915262 -> [-12.0596127, -77.0416719]
Nodo 2053915263 -> [-12.0596123, -77.0589209]
Nodo 2053915265 -> [-12.0596344, -77.0587966]
Nodo 1399063170 -> [-12.0595571, -77.0541469]
Nodo 2053915269 -> [-12.0596911, -77.0415471]
Nodo 2053915271 -> [-12.0597376, -77.0413256]
Nodo 2981888108 -> [-12.0694355, -77.0818841]
Nodo 639107723 -> [-12.0796087, -77.0681352]
Nodo 639107724 -> [-12.079837, -77.0681687]
Nodo 639107725 -> [-12.0801458, -77.0680031]
Nodo 2981888109 -> [-12.0693071, -77.081981]
Nodo 2053915282 -> [-12.0601086, -77.0520191]
Nodo 1399063190 -> [-12.0584479, -77.0523075]
Nodo 2053915287 -> [-12.0603026, -77.0528434]
Nodo 2053915290 -> [-12.0603662, -77.0527473]
Nodo 4206183067 -> [-12.0627201, -77.0699117]
Nodo 4206183068 -> [-12.0626442, -77.0704905]
Nodo 4569344523 -> [-12.0552299, -77.0514279]
Nodo 2053915297 -> [-12.0605884, -77.0506426]
Nodo 2053915304 -> [-12.061086, -77.0589621]
Nodo 674939563 -> [-12.073696, -77.0625021]
Nodo 674939564 -> [-12.0736339, -77.062554]
Nodo 674939565 -> [-12.0721314, -77.0640008]
Nodo 5464002442 -> [-12.0558832, -77.0689756]
Nodo 1399063215 -> [-12.0628852, -77.0565543]
Nodo 1399063216 -> [-12.0630136, -77.0562057]
Nodo 1399063217 -> [-12.0633756, -77.0553488]
Nodo 2053915315 -> [-12.0617387, -77.0519406]
Nodo 2053915316 -> [-12.0617417, -77.0592695]
Nodo 1399063223 -> [-12.0635445, -77.0548446]
Nodo 2053915321 -> [-12.0618628, -77.0517133]
Nodo 1399063227 -> [-12.0627706, -77.0560228]
Nodo 2053915325 -> [-12.0619483, -77.0517237]
Nodo 1843102399 -> [-12.0685285, -77.0778982]
Nodo 2053915328 -> [-12.0621081, -77.0589141]
Nodo 2053915329 -> [-12.0621656, -77.0545278]
Nodo 499860162 -> [-12.0580699, -77.069183]
